Item,Transaction,kuantitas
BOTOL KACA KAKTUS,354,1
TABLET LCD,355,1
PAYUNG 16 JARI,356,1
JEMURAN LIPAT NAGATO,357,3
NAMPAN 4 SEDENG,358,1
DIPAN SULTAN,359,1
GELAS PLASTIK AYAM JAGO JUMBO,359,1
SPREI HOME UK 160 & 180,360,1
KURSI SUSAN,361,1
KERANJANG POPOK BAYI,361,1
NAMPAN 4 SEDENG,362,1
CUTER TRANSPARAN,364,3
TABLET LCD,364,1
WAFER TANGO,364,1
WAFER TANGO,365,1
JEMURAN LIPAT NAGATO,366,1
MANTEL HARMONY JAKET CELANA,366,1
BONEKA BOBA LED XL,367,1
WAJAN PIZZA,368,1
KARPET SPONS MURAH,369,1
DIPAN SULTAN,370,1
LEM DEXTON BOTOL,370,1
TREMOS INDOGLASS 500ML,371,1
CANGKIR PLASTIK JAGO 6PCS,372,1
SAMBUNGAN KRAN,372,1
PANGGANGAN LIPAT,373,1
FRYPAN 3288,374,1
TABLET LCD,375,1
TABLET LCD,376,1
CUTER TRANSPARAN,376,1
SAPU DUK BINTANG,377,1
TABLET LCD,378,1
RACUN CICAK,379,1
KURSI SUSAN,380,1
STIKER MOMO,380,1
MAGICOM VOTRE 1.2L,380,1
MASKER DUCKBIL ANAK,380,1
CATOKAN NOVA,380,1
KURSI TERAS ROTAN,380,1
REGULATOR QUANTUM+PANDOM,381,1
MAWAR LAUNDRY REFILL,382,1
KARPET SPONS MURAH,383,17
TEMPAT SABUN PASIFIK,383,2
TENDA 2 PINTU,384,1
RAK PIRING RPK 2SSN,385,1
CUTER TRANSPARAN,385,1
TEKO SIUL MASPION 26,385,1
TAMPAH MURAH UK 40,385,1
CUTER TRANSPARAN,386,1
JAM DINDING ANGKA,386,1
PIRING LUCKY COKLAT,387,1
MAWAR LAUNDRY REFILL,388,1
MANTEL POLKADOT DOLPHIN,388,1
JEMURAN ALUMINIUM STANDART WARNA,388,2
PISAU SULTAN,389,1
TALENAN KAYU KCL,389,1
MANTEL PONCO AURORA,389,1
TABLET LCD,389,1
MAINAN TARIK,390,1
BATU BATRAI DYNAMAX,390,1
LEMARI ACTIV KACA MASUK 3P,391,1
RACUN CICAK,391,1
PIRING ROTAN PLASTIK,392,1
RACUN CICAK,392,2
CLUNNY SET,392,1
BOX CB 128,393,1
SETRIKA UAP,393,1
TEKO SET JAGO,394,1
SPREI HOME UK 160 & 180,394,1
PISAU SULTAN,394,1
BOTOL MINUM 750ML SL,394,2
CUTER TRANSPARAN,395,1
SIRUP ABC DUS,395,1
CUTER TRANSPARAN,396,1
KOMPOR RINNAI 511C,397,1
REGULATOR DESTEC PANDOM METER,397,1
LEMARI 3 P GALFANIS ANAK,398,1
TABLET LCD,398,1
LEMARI LS2P KACA,398,1
KRUPUK KENTANG DUS,399,1
TIRAI MAGNET ANTI NYAMUK,399,2
TEMPAT TISU KOTAK PANJANG,400,1
TEMPAT TISU KOTAK PANJANG,401,1
PAYUNG PELANGI JUMBO,401,1
KERANJANG PAJERO WARNA,401,1
BOTOL MINUM 750ML SL,401,1
BATANG KORDEN 1.5M,401,1
BATANG KORDEN 1M,401,3
PANCI EAGLE 33 SARANGAN,401,2
KORDEN SMOKRING,402,6
BATANG KORDEN 1.5M,402,3
TREMOS ELEPHANT,403,1
BOTOL KACA KAKTUS,404,2
TABLET LCD,405,1
TABLET LCD,406,1
TEFLON GSF 22CM,406,1
MAWAR LAUNDRY REFILL,407,1
WALLPAPER DAPUR 5M,408,1
MEJA BELAJAR IMPOR KARAKTER,409,14
KERANJANG PAJERO WARNA,410,2
MANTEL ELMONDO ANAK,411,1
